year,adm1_name,lc_class,lc_name,growing_mean_ndvi,anomaly_growing_mean_ndvi,summer_temp_anomaly,summer_sm_anomaly,stress_score,resistance_candidate
2017.0,Baden-Wuerttemberg,1,forest,0.7449780873486812,0.016231425418338902,-0.1793274815715598,0.01587592092436271,-0.19520340249592263,0.1356659213705524
2017.0,Bayern,1,forest,0.7255195876626656,0.012996579438469885,-0.299477876831111,0.006766942415627348,-0.30624481924673713,0.09900364021323997
2017.0,Berlin,1,forest,0.6179138422101966,0.0077105949720553965,-1.518719524882779,0.08086062297881723,-1.599580147861597,0.004716561398954255
2017.0,Brandenburg,1,forest,0.697605370636225,0.02000477052035994,-1.3218678339933458,0.06955133796254144,-1.3914191719558875,0.014766596624873842
2017.0,Bremen,1,forest,0.6549527530364372,0.010110336096651913,-0.9543066829927652,0.04171751414398478,-0.9960241971367501,0.01075620539012033
2017.0,Hamburg,1,forest,0.6268970263151706,0.013524139950732556,-1.2372322002674323,0.04976642766918235,-1.2869986279366148,0.010423319170157076
2017.0,Hessen,1,forest,0.7329805118294865,0.018688289710496537,-0.6765539203173692,0.03740940499104629,-0.7139633253084157,0.026278002709557595
2017.0,Mecklenburg-Vorpommern,1,forest,0.6975077631608045,0.01636012986156988,-1.3992090984564975,0.07097028218447228,-1.4701793806409702,0.011063876015762114
2017.0,Niedersachsen,1,forest,0.7219912982353858,0.020727621606577228,-1.096939277744658,0.054958006139090305,-1.151897283883748,0.017868693800283653
2017.0,Nordrhein-Westfalen,1,forest,0.7153156634676356,0.02185127932908607,-0.5516259583560779,0.03547028747189386,-0.587096245827971,0.03830574900548938
2017.0,Rheinland-Pfalz,1,forest,0.7399407703573819,0.018448637974741014,-0.3038028659227575,0.011165884972010282,-0.3149687508947672,0.06340708229935409
2017.0,Saarland,1,forest,0.7267130879188619,0.024336899104483823,-0.16897807348310856,0.0015118321066674414,-0.17048990558977606,0.160241054421422
2017.0,Sachsen,1,forest,0.6936799111775452,0.014570008387730569,-0.7394120962723825,0.033682672476306345,-0.7730947687486881,0.01783315516388575
2017.0,Sachsen-Anhalt,1,forest,0.704766814906306,0.030662474466119864,-1.1724958879613543,0.05252801659949118,-1.2250239045608464,0.025119513369376657
2017.0,Schleswig-Holstein,1,forest,0.7099971892276102,0.014561940764830646,-1.199093539380303,0.05004071307926764,-1.2491342524595705,0.011800325249125212
2017.0,Thueringen,1,forest,0.7157944546923246,0.012224674752467317,-0.6984598461905867,0.03281145159970549,-0.7312712977902915,0.01655948581873366
2017.0,Baden-Wuerttemberg,2,grassland,0.7430670289714324,0.015360684656302526,-0.08408388255040325,0.007383787278022476,-0.09146766982842573,0.18075172611056528
2017.0,Bayern,2,grassland,0.750028915212147,0.012520760087804938,-0.09520674762859456,4.333684800003285E-4,-0.09564011610859498,0.17882750801939487
2017.0,Berlin,2,grassland,0.6022307692307693,0.024648901098901166,-1.5221293267383444,0.0838008815812096,-1.6059302083195541,0.01525369163346118
2017.0,Brandenburg,2,grassland,0.6718557983134713,0.027459392944544123,-1.3436994821618062,0.07052277607093381,-1.4142222582327406,0.01913581379695388
2017.0,Bremen,2,grassland,0.7079924330890707,0.011004477756069735,-0.9757484962857221,0.04466729194894624,-1.0204157882346683,0.010861701813980634
2017.0,Hamburg,2,grassland,0.6791456084959816,0.017798453736761595,-1.2670048444969497,0.050846667797218255,-1.3178515122941685,0.01351489416071177
2017.0,Hessen,2,grassland,0.7370672984960275,0.0278896149603648,-0.6610528817232534,0.036115549919121616,-0.6971684316423747,0.039968916944924285
2017.0,Mecklenburg-Vorpommern,2,grassland,0.687037396269988,0.021391453923463945,-1.3905352082466542,0.071126532838136,-1.4616617410847894,0.014501078664292339
2017.0,Niedersachsen,2,grassland,0.7363261956433839,0.022324639764910014,-0.9358366158623839,0.044850924804498676,-0.9806875406668824,0.022472562356857302
